px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
95.5545	19.6934	0.910036	0.0171555	0.147436	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0.0511675
96.2709	19.1973	0.885904	-0.692993	-0.34653	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	0.941759
96.3175	19.223	1.00237	-0.550671	-0.195215	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	0.62884
97.4573	18.7289	1.49534	-0.187983	0.141952	97.5286	18.727	97.45	18.506	0.868716	-0.503009	1.93893
97.4125	18.725	1.32552	-0.323077	-0.0421196	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	0.742328
98.2268	18.3702	1.18458	-0.350086	-0.0361198	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	0.110251
98.2363	18.3698	1.11002	-0.407677	-0.136769	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	0.397389
99.0257	17.3815	1.37367	-1.08666	-0.445064	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	0.606281
99.0445	17.421	1.37641	-0.744018	-0.00655037	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	0.93992
99.9921	16.9594	1.12586	-0.39804	0.198363	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	0.594812
100.059	16.9757	1.11863	-0.375928	0.167479	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	1.86774
101.169	16.5404	1.4011	-0.201445	0.170318	101.204	16.5368	101.065	16.497	0.991362	-0.513687	0.448812
101.142	16.5318	1.25114	-0.304923	0.0348907	101.169	16.4353	101.065	16.497	0.991362	-0.513687	0.390561
102.353	16.3923	1.46117	0.0876607	0.242512	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	0.536883
102.268	16.3843	1.21713	0.0375529	0.19608	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	1.60284
103.031	15.4012	1.01264	-1.12692	-0.587767	103.003	15.353	103.119	15.4967	1.11708	-0.508169	2.65408
102.981	15.4657	1.14133	-0.624638	0.0262187	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	2.92092
104.079	15.2413	1.19491	0.0243814	0.401429	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	1.08453
104.044	15.2294	1.21898	-0.0106466	0.385372	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	0.603891
105.505	14.4733	1.57346	-0.822871	-0.325319	105.541	14.4412	105.447	14.5293	1.28111	-0.481861	2.21019
105.462	14.4921	1.6259	-0.647698	-0.109669	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	0.83505
106.811	14.0278	1.51916	-0.229596	0.217359	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	0.760579
106.759	14.0153	1.52468	-0.24812	0.232742	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	1.12799
108.074	13.6632	1.62124	-0.106045	0.176515	108.084	13.6604	108.122	13.644	1.47592	-0.423202	0.0582123
108.085	13.6648	1.63657	-0.0995219	0.182187	108.131	13.6844	108.122	13.644	1.47592	-0.423202	0.0327823
109.524	13.571	1.72979	0.0655536	0.17148	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	0.0651287
109.484	13.5655	1.62175	0.0489603	0.155919	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	0.386123
111.051	12.6093	1.73716	-0.915961	-0.513908	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	1.56284
111.132	12.6709	1.97589	-0.550636	-0.0204591	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	2.78496
112.893	12.4618	1.78624	0.0515847	0.373454	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	1.22451
112.889	12.4571	1.81908	0.0472089	0.372709	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	0.0699664
114.773	12.5506	2.05743	0.147957	0.198586	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	0.575694
114.791	12.5523	1.98784	0.139124	0.195209	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	0.182656
116.673	12.117	2.05792	-0.390574	-0.244262	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	0.726593
116.713	12.1387	2.2706	-0.266687	-0.0665934	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	0.71073
118.916	11.9958	2.47573	0.0952146	0.206537	118.953	12.0009	118.628	12.2586	2.11648	0.0177712	0.81474
118.9	12.0008	2.34611	0.102338	0.212235	118.85	12.4063	118.628	12.2586	2.11648	0.0177712	0.189325
120.7	12.2938	2.30469	0.266838	0.182636	120.695	12.2918	120.743	12.3289	2.21139	0.128528	0.0250239
120.742	12.2979	2.31822	0.264106	0.181718	120.934	12.1905	120.743	12.3289	2.21139	0.128528	0.447082
123.508	12.8207	2.80668	0.0168878	-0.0932805	123.568	12.8297	122.95	12.5114	2.29835	0.246599	2.82614
123.432	12.8075	2.58739	0.0035455	-0.121741	123.142	12.7694	122.95	12.5114	2.29835	0.246599	1.46166
124.922	12.7732	2.32259	-0.0965789	-0.110515	124.894	12.7743	125.242	12.8125	2.37624	0.369827	0.821654
125.021	12.7887	2.60076	-0.0416959	-0.0287222	125.376	12.9964	125.242	12.8125	2.37624	0.369827	2.38807
127.812	13.3171	2.8983	0.437848	0.292319	127.853	13.3273	127.609	13.2365	2.44434	0.495787	1.61336
127.75	13.3117	2.84761	0.436678	0.30024	127.506	13.153	127.609	13.2365	2.44434	0.495787	0.928855
129.959	13.7144	2.55609	0.219018	-0.0231606	129.947	13.6963	130.042	13.7853	2.50232	0.621879	0.690488
130.028	13.7189	2.55934	0.198651	-0.031228	130.334	13.781	130.042	13.7853	2.50232	0.621879	1.31817
132.091	14.5023	2.59571	0.396794	0.114636	132.092	14.507	132.53	14.458	2.55028	0.74543	0.0752096
132.161	14.5047	2.74787	0.34644	0.0400572	132.447	14.3423	132.53	14.458	2.55028	0.74543	1.13024
135.027	15.0422	3.08714	0.000341707	-0.207216	135.074	15.0475	135.066	15.2513	2.58865	0.863795	1.54353
135.03	15.0338	2.88889	-0.0404719	-0.268346	135.127	14.6575	135.066	15.2513	2.58865	0.863795	0.374039
137.558	16.1978	2.82136	0.635265	0.332322	137.561	16.2147	137.639	16.1592	2.61821	0.974442	1.22975
137.586	16.1811	3.07982	0.483517	0.0821251	137.653	16.5145	137.639	16.1592	2.61821	0.974442	0.739519
140.312	17.0098	3.11198	0.189868	-0.164458	140.331	17.008	140.242	17.1733	2.63994	1.07503	0.430107
140.317	17.0086	3.06409	0.192566	-0.156012	140.305	17.5379	140.242	17.1733	2.63994	1.07503	0.0835867
142.886	17.9854	3.11927	0.394817	0.0742258	142.888	17.9918	142.868	18.2829	2.65497	1.16346	0.192547
142.84	17.98	3.09695	0.397783	0.0782171	142.626	18.1458	142.868	18.2829	2.65497	1.16346	0.509588
145.381	19.1585	3.19421	0.425878	0.0452936	145.392	19.1617	145.51	19.4754	2.66445	1.23795	0.0989089
145.46	19.1692	3.20743	0.421412	0.057432	145.789	19.3785	145.51	19.4754	2.66445	1.23795	1.70679
148.228	20.4682	3.40811	0.404643	0.00813799	148.251	20.4754	148.163	20.7364	2.66951	1.29702	0.384739
148.212	20.4706	3.21616	0.48177	0.146109	148.146	20.9376	148.163	20.7364	2.66951	1.29702	0.368415
150.673	22.1078	3.34501	0.62941	0.145808	150.686	22.1142	150.825	22.0502	2.67111	1.33953	0.138773
150.666	22.1034	3.39848	0.586903	0.0657592	150.649	21.8148	150.825	22.0502	2.67111	1.33953	0.096849
153.411	23.4915	3.39173	0.398551	-0.0986838	153.422	23.4909	153.491	23.3999	2.66999	1.3647	0.187304
153.389	23.4858	3.23279	0.471348	0.0335287	153.466	22.9115	153.491	23.3999	2.66999	1.3647	0.363051
156.035	24.8048	3.32888	0.425405	-0.0182515	156.047	24.8084	156.159	24.7682	2.66666	1.37208	0.12405
156.025	24.8083	3.10768	0.508139	0.130596	156.009	25.0678	156.159	24.7682	2.66666	1.37208	0.450024
158.873	26.021	3.33274	0.308031	-0.0843503	158.905	26.0308	158.827	26.1372	2.66127	1.36157	0.854878
158.9	26.0244	3.26192	0.31616	-0.0582195	159.014	26.1903	158.827	26.1372	2.66127	1.36157	0.313785
161.411	27.4207	3.3138	0.548689	0.127837	161.412	27.4256	161.493	27.4891	2.65371	1.33344	0.124944
161.442	27.4319	3.21629	0.601607	0.220843	161.529	27.8454	161.493	27.4891	2.65371	1.33344	0.426377
163.636	28.7817	2.99065	0.588905	0.0724502	163.625	28.7683	164.155	28.8064	2.64354	1.28825	0.272167
163.746	28.7978	3.10109	0.533172	0.00537746	164.116	29.315	164.155	28.8064	2.64354	1.28825	2.90892
166.768	30.186	3.58989	0.291554	-0.15802	166.828	30.2062	166.809	30.0721	2.63006	1.22694	2.07765
166.723	30.1728	3.25368	0.360839	-0.0340755	166.748	29.7121	166.809	30.0721	2.63006	1.22694	1.22929
169.102	31.3705	3.23175	0.478635	0.0634293	169.097	31.3717	169.452	31.2706	2.61238	1.15075	0.0502541
169.121	31.3768	3.14545	0.511297	0.121437	169.345	30.7063	169.452	31.2706	2.61238	1.15075	0.210776
172.14	32.3323	3.35178	0.150923	-0.19089	172.175	32.3404	172.079	32.3873	2.58945	1.06126	1.10557
172.142	32.3244	3.121	0.128457	-0.219486	172.135	32.6666	172.079	32.3873	2.58945	1.06126	0.467956
174.645	33.4523	3.09782	0.508919	0.165582	174.643	33.4625	174.685	33.4095	2.56021	0.960341	0.501411
174.628	33.4541	2.99561	0.545927	0.226802	174.474	33.9157	174.685	33.4095	2.56021	0.960341	0.130146
177.03	34.2129	2.81715	0.277967	-0.0909105	177.03	34.2009	177.261	34.3262	2.52363	0.850119	0.461437
177.045	34.212	2.72224	0.277331	-0.0791825	177.211	33.8467	177.261	34.3262	2.52363	0.850119	0.206198
180.103	35.1326	3.12045	0.252202	-0.0441579	180.145	35.1423	179.799	35.1289	2.47883	0.732949	1.88611
180.002	35.115	2.80126	0.288401	0.0033217	179.543	35.4767	179.799	35.1289	2.47883	0.732949	2.60333
182.585	35.7509	2.93311	0.195251	-0.0573561	182.599	35.753	182.292	35.8114	2.42515	0.611338	0.242604
182.498	35.7337	2.6982	0.202992	-0.0523595	182.047	36.2626	182.292	35.8114	2.42515	0.611338	1.90425
184.728	36.5104	2.74297	0.385182	0.0956364	184.732	36.5155	184.73	36.37	2.36226	0.487877	0.0963713
184.727	36.5166	2.52389	0.435561	0.17545	184.833	36.1451	184.73	36.37	2.36226	0.487877	0.322593
186.935	36.9463	2.52316	0.100051	-0.147104	186.946	36.9404	187.103	36.804	2.29017	0.365145	0.395461
187.001	36.9587	2.55989	0.0812746	-0.159267	187.296	36.9375	187.103	36.804	2.29017	0.365145	1.11743
189.448	37.3983	2.70595	0.234343	0.0394362	189.465	37.4052	189.401	37.1147	2.20928	0.245623	0.417348
